Spotify Ranking ,Artists,Name,Genre,Key,Tempo,Mode,Valence,Danceability,Acousticness,Liveness,Energy,Duration_ms,Speechiness
1,Drake,God's Plan,Hip Hop/ R&B,G,77,1,0.36,0.75,0.13,0.55,0.45,198973,0.04
2,XXXTENTACION,SAD!,Hip Hop/ R&B,G#,75,1,0.47,0.74,0.04,0.12,0.61,166606,0.04
3,Post Malone,rockstar (feat. 21 Savage),Hip Hop/ R&B,F,160,0,0.14,0.59,0.01,0.13,0.54,218147,0.04
4,Post Malone,Psycho (feat. Ty Dolla $ign),Hip Hop/ R&B,G#,140,1,0.44,0.74,0.1,0.11,0.56,221440,0.04
5,Drake,In My Feelings,Hip Hop/ R&B,C#,91,1,0.35,0.84,0.17,0.4,0.63,217925,0.04
6,Post Malone,Better Now,Hip Hop/ R&B,A#,145,1,0.37,0.68,0.37,0.14,0.56,231267,0.05
7,Cardi B,I Like It,Hip Hop/ R&B,F,136,0,0.65,0.82,0.35,0.37,0.73,253390,0.05
8,Calvin Harris,One Kiss (with Dua Lipa),Pop,A,124,0,0.59,0.79,0.05,0.08,0.86,214847,0.1
9,Dua Lipa,IDGAF,Pop,G,97,1,0.51,0.84,0.02,0.08,0.54,217947,0.1
10,Marshmello,FRIENDS,Pop,A,95,0,0.53,0.63,0.03,0.13,0.88,202621,0.11
11,Camila Cabello,Havana,Pop,D,105,1,0.39,0.77,0.04,0.13,0.52,217307,0.11
12,Juice WRLD,Lucid Dreams,Hip Hop/ R&B,F#,84,0,0.22,0.51,0.19,0.34,0.57,239836,0.05
13,Drake,Nice For What,Hip Hop/ R&B,G#,93,1,0.76,0.59,0.09,0.12,0.91,210747,0.05
14,Maroon 5,Girls Like You (feat. Cardi B),Pop,C,125,1,0.45,0.85,0.58,0.13,0.54,235545,0.12
15,Zedd,The Middle,Pop,G,107,1,0.44,0.75,0.02,0.11,0.66,184732,0.12
16,Kendrick Lamar,All The Stars (with SZA),Hip Hop/ R&B,G#,97,1,0.55,0.7,0.21,0.09,0.63,232187,0.05
17,Ariana Grande,no tears left to cry,Pop,A,122,0,0.35,0.7,0.06,0.29,0.71,205920,0.13
18,Nicky Jam,X,Latin,A,180,0,0.71,0.6,0.58,0.33,0.77,173628,0.08
19,XXXTENTACION,Moonlight,Hip Hop/ R&B,A,128,0,0.71,0.92,0.57,0.1,0.54,135090,0.05
20,BlocBoy JB,Look Alive (feat. Drake),Hip Hop/ R&B,A#,140,1,0.6,0.92,0.18,0.11,0.58,181263,0.05
21,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Pop,C,92,1,0.55,0.65,0.1,0.17,0.81,210773,0.13
22,Nio Garcia,Te Bote - Remix,Latin,B,97,0,0.44,0.9,0.56,0.06,0.68,417920,0.08
23,Bazzi,Mine,Pop,E,143,1,0.72,0.71,0.26,0.45,0.79,131064,0.15
24,5 Seconds of Summer,Youngblood,Pop,G,120,0,0.15,0.6,0.18,0.12,0.85,203418,0.15
25,Dua Lipa,New Rules,Pop,A,116,0,0.61,0.76,0.16,0.15,0.7,209320,0.2
26,Ed Sheeran,Shape of You,Pop,C#,96,0,0.93,0.83,0.35,0.09,0.65,233713,0.2
27,Khalid,Love Lies (with Normani),Hip Hop/ R&B,F#,144,1,0.34,0.71,0.04,0.13,0.65,201707,0.05
28,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),Pop,A#,154,1,0.59,0.64,0.54,0.06,0.77,164205,0.21
29,XXXTENTACION,Jocelyn Flores,Hip Hop/ R&B,C,134,0,0.44,0.87,0.04,0.3,0.39,119133,0.06
30,Ed Sheeran,Perfect,Pop,G#,95,1,0.17,0.6,0.01,0.11,0.45,263400,0.22
